id;texto;setor_destino;canal;urgencia_referencia;particao_recomendada
ATE-0211;Olá, preciso conversar sobre a organização da grade ainda hoje Conseguem verificar?;coordenacao;email;alta;validacao
ATE-0017;Gente, não consigo entrar no portal para emitir o boleto na última tentativa Aguardo retorno.;financeiro;email;normal;validacao
ATE-0064;Olá, quero informações sobre emissão de diploma na última tentativa Obrigado.;secretaria_academica;email;normal;teste
ATE-0099;Preciso de ajuda: o portal abre, mas minha matrícula não aparece quando possível;coordenacao;aplicativo;alta;teste
ATE-0081;Preciso de ajuda: a matrícula em uma disciplina não foi confirmada para este período;secretaria_academica;aplicativo;normal;treino
ATE-0010;Olá, quero informações sobre bolsa e desconto antes do prazo;financeiro;aplicativo;normal;treino
ATE-0197;  Gente,  quero  saber como reservar um livro antes da próxima aula Obrigado.  ;biblioteca;aplicativo;normal;treino
ATE-0028;Olá, quero informações sobre bolsa e desconto na última tentativa;financeiro;aplicativo;normal;treino
ATE-0060;Preciso de ajuda: quero corrigir um dado no meu cadastro acadêmico antes da próxima aula Aguardo retorno.;secretaria_academica;email;normal;validacao
ATE-0012;Preciso de ajuda: preciso negociar uma parcela em atraso para este período Obrigado.;financeiro;aplicativo;normal;validacao
ATE-0216;Preciso de ajuda: preciso de orientação acadêmica sobre o próximo período para este período 😕;coordenacao;aplicativo;normal;validacao
ATE-0137;Gente, preciso enviar um documento à secretaria, mas o portal apresenta erro desde ontem Aguardo retorno.;suporte_tecnico;email;normal;treino
ATE-0071;;secretaria_academica;aplicativo;alta;treino
ATE-0104;Gente, preciso saber como pedir aproveitamento de disciplina antes da próxima aula Isso é urgente.;secretaria_academica;email;normal;teste
ATE-0051;Preciso de ajuda: gostaria de entender o valor cobrado neste mês ainda hoje Isso é urgente.;financeiro;email;alta;teste
ATE-0121;Olá, preciso enviar um documento à secretaria, mas o portal apresenta erro para concluir uma atividade;suporte_tecnico;email;normal;treino
ATE-0021;Preciso de ajuda: não consigo entrar no portal para emitir o boleto antes do prazo Obrigado.;secretaria_academica;email;normal;teste
ATE-0097;Olá, não encontrei o histórico escolar no portal na última tentativa 😕;secretaria_academica;aplicativo;normal;treino
ATE-0022;OLÁ, QUERO INFORMAÇÕES SOBRE BOLSA E DESCONTO PELA PRIMEIRA VEZ CONSEGUEM VERIFICAR?;financeiro;aplicativo;normal;validacao
ATE-0189;Preciso de ajuda: preciso consultar se uma obra está disponível pelo portal Conseguem verificar?;biblioteca;aplicativo;normal;validacao
ATE-0153;Preciso de ajuda: preciso enviar um documento à secretaria, mas o portal apresenta erro quando possível Isso é urgente.;secretaria_academica;email;normal;teste
ATE-0136;Olá, não recebo o código de acesso no email antes da próxima aula Aguardo retorno.;suporte_tecnico;aplicativo;normal;treino
ATE-0176;Gente, não consigo acessar a biblioteca digital desde ontem 😕;biblioteca;email;normal;treino
