id;texto;setor_destino;canal;urgencia_referencia;particao_recomendada
ATE-00001;Por favor, estou com uma dúvida, tenho dúvida sobre um pagamento, mas o que preciso resolver primeiro é que minha senha não funciona. Preciso de um retorno.;suporte_tecnico;chat;alta;treino
ATE-00002;"Oi, preciso consultar uma pendência de empréstimo; ao mesmo tempo, o comprovante foi enviado, mas o débito continua aberto.";financeiro;email;media;treino
ATE-00003;Há uma questão pedagógica que preciso avaliar. Minha solicitação principal é: minha matrícula não aparece corretamente.;secretaria_academica;portal;baixa;validacao
ATE-00004;aparece uma mensagem de erro toda vez que faço login?;suporte_tecnico;portal;baixa;treino
ATE-00005;tambem preciso confirmar um documento acadêmico. Minha solicitação principal é: quero conversar sobre pré-requisitos e sequência de disciplinas.;coordenacao;portal;media;treino
ATE-00006;Não consigo acessar uma tela do sistema, mas o que preciso resolver primeiro é que meu pagamento ainda não foi reconhecido.;financeiro;telefone;baixa;treino
ATE-00007;"Por favor, alguém consegue me ajudar, minha matrícula não aparece corretamente; além disso, há uma questão pedagógica que preciso avaliar.";secretaria_academica;email;baixa;treino
ATE-00008;Por favor, o comprovante foi enviado, mas o débito continua aberto?;financeiro;chat;baixa;teste
ATE-00009;Preciso consultar uma pendência de empréstimo. Além disso, preciso solicitar aproveitamento de documentação já entregue.;secretaria_academica;presencial;baixa;treino
ATE-00010;Alguém consegue me ajudar, aparece uma mensagem de erro toda vez que faço login e também preciso avaliar uma situação excepcional no meu percurso acadêmico. Fico no aguardo.;suporte_tecnico;chat;alta;treino
ATE-00011;Bom dia, meu nome saiu incorreto em um documento acadêmico? Preciso de um retorno.;secretaria_academica;presencial;media;validacao
ATE-00012;preciso avaliar uma situação excepcional no meu percurso acadêmico e também quero saber sobre a emissão de declaração. 😕;coordenacao;telefone;alta;teste
ATE-00013;Bom dia, não consigo acessar um artigo pelo portal da biblioteca Obrigado.;biblioteca;portal;baixa;treino
ATE-00014;um livro devolvido ainda aparece comigo, mas tenho ainda outra questão: preciso de orientação sobre uma decisão acadêmica que não é apenas cadastral.;biblioteca;presencial;media;treino
ATE-00015;"Registro a seguinte situação: olá, quero orientação sobre uma situação com uma disciplina; além disso, o portal também está dando erro!";coordenacao;portal;baixa;treino
ATE-00016;Olá, quero orientação acadêmica antes de escolher as próximas matérias Podem verificar?;coordenacao;chat;alta;treino
ATE-00017;Registro a seguinte situação: por favor, quero orientação acadêmica antes de escolher as próximas matérias. Isso pode ser verificado, por favor?;coordenacao;presencial;media;treino
ATE-00018;Olá, preciso solicitar um histórico escolar, mas tenho ainda outra questão: quero conversar sobre pré-requisitos e sequência de disciplinas.;secretaria_academica;presencial;alta;treino
